Date,btc_price,vix_level,Returns,RealizedVol_21d,VIX_decimal,VIX_change,VIX_lag1
2021-07-06,33851.0,16.44,0.01314591014553912,0.7606913588203261,0.16440000000000002,1.370000000000001,0.1507
2021-07-07,33966.89,16.2,0.003417685593142039,0.7184416083845676,0.162,-0.240000000000002,0.16440000000000002
2021-07-08,34532.38,19.0,0.016511207986054544,0.7070881161295672,0.19,2.8000000000000007,0.162
2021-07-09,32819.0,16.18,-0.05088981862694375,0.7245642821511189,0.1618,-2.8200000000000003,0.19
2021-07-12,33973.59,16.17,0.034575842100593945,0.6771054188166729,0.1617,-0.00999999999999801,0.1618
2021-07-13,32837.5,17.12,-0.03401230306060121,0.6849871515604171,0.17120000000000002,0.9499999999999993,0.1617
2021-07-14,32508.68,16.33,-0.01006402441158194,0.6745964815514747,0.16329999999999997,-0.7900000000000027,0.17120000000000002
2021-07-15,32792.98,17.01,0.008707337493289558,0.6319292619995157,0.17010000000000003,0.6800000000000033,0.16329999999999997
2021-07-16,31756.0,18.45,-0.03213278423049992,0.6350906816773026,0.1845,1.4399999999999977,0.17010000000000003
2021-07-19,31610.94,22.5,-0.0045784206526224835,0.6284039030645377,0.225,4.050000000000001,0.1845
2021-07-20,30772.25,19.73,-0.026889953377741804,0.6302345775754224,0.1973,-2.7699999999999996,0.225
2021-07-21,29859.0,17.91,-0.030127007900466296,0.5860136631000588,0.1791,-1.8200000000000003,0.1973
2021-07-22,31779.04,17.69,0.06232065104248896,0.5872571500384952,0.1769,-0.21999999999999886,0.1791
2021-07-23,32234.53,17.2,0.014231285256759207,0.5884926464769942,0.172,-0.490000000000002,0.1769
2021-07-26,34436.11,17.58,0.06606748489083536,0.6326436425180726,0.17579999999999998,0.379999999999999,0.172
2021-07-27,37730.82,19.36,0.09137154398660563,0.6834431281199045,0.1936,1.7800000000000011,0.17579999999999998
2021-07-28,38041.75,18.31,0.008206973716402999,0.637988766744519,0.18309999999999998,-1.0500000000000007,0.1936
2021-07-29,39943.73,17.7,0.048787472887086736,0.6299573717998899,0.177,-0.6099999999999994,0.18309999999999998
2021-07-30,39725.69,18.24,-0.00547363202555573,0.617591034166567,0.18239999999999998,0.5399999999999991,0.177
2021-08-02,41073.64,19.46,0.033368471524186205,0.5984163768746834,0.1946,1.2200000000000024,0.18239999999999998
2021-08-03,38835.43,18.04,-0.056033578914375326,0.6220760020646912,0.1804,-1.4200000000000017,0.1946
2021-08-04,38062.45,17.97,-0.020104742456116043,0.6286780808917375,0.1797,-0.07000000000000028,0.1804
2021-08-05,39733.39,17.28,0.04296366029626597,0.6417507959464644,0.1728,-0.6899999999999977,0.1797
2021-08-06,40896.0,16.15,0.02884036661845002,0.6453512144883409,0.16149999999999998,-1.1300000000000026,0.1728
2021-08-09,43646.75,16.72,0.0650965648593651,0.6368891774301675,0.1672,0.5700000000000003,0.16149999999999998
2021-08-10,45442.55,16.79,0.040320067181653485,0.6395806634719821,0.1679,0.07000000000000028,0.1672
2021-08-11,45644.25,16.06,0.004428749932495535,0.6167903851195491,0.1606,-0.7300000000000004,0.1679
2021-08-12,46350.0,15.59,0.015343651283279414,0.6096662666656074,0.1559,-0.46999999999999886,0.1606
2021-08-13,44474.02,15.45,-0.041316093553774635,0.6419014856125251,0.1545,-0.14000000000000057,0.1559
2021-08-16,46305.74,16.12,0.040360729032022036,0.6244150581398166,0.1612,0.6700000000000017,0.1545
2021-08-17,46053.01,17.91,-0.005472803189841002,0.6248293933011568,0.1791,1.7899999999999991,0.1612
2021-08-18,44975.26,21.57,-0.02368056349094516,0.6220220343406287,0.2157,3.66,0.1791
2021-08-19,44536.34,21.67,-0.009807075683863076,0.6059584336974219,0.2167,0.10000000000000142,0.2157
2021-08-20,46583.75,18.56,0.04494628274546386,0.5931760863024518,0.1856,-3.110000000000003,0.2167
2021-08-23,48393.74,17.15,0.03811869864369655,0.5969163553457483,0.17149999999999999,-1.4100000000000001,0.1856
2021-08-24,49503.25,17.22,0.022667857470381136,0.5725530555453127,0.1722,0.07000000000000028,0.17149999999999999
2021-08-25,48350.0,16.79,-0.023572102085699598,0.5213028701048104,0.1679,-0.4299999999999997,0.1722
2021-08-26,48669.88,18.84,0.006594136358470948,0.5214731979541266,0.1884,2.0500000000000007,0.1679
2021-08-27,47028.5,16.39,-0.034306557344862654,0.5264950984978982,0.16390000000000002,-2.4499999999999993,0.1884
2021-08-30,48788.25,16.19,0.03673570426582273,0.5333704381589516,0.16190000000000002,-0.1999999999999993,0.16390000000000002
2021-08-31,48664.75,16.48,-0.0025345564757053296,0.5278402556783651,0.1648,0.28999999999999915,0.16190000000000002
2021-09-01,47003.0,16.11,-0.034743519242770304,0.4996592149831957,0.1611,-0.370000000000001,0.1648
2021-09-02,48267.16,16.41,0.02653998276548819,0.491377520216365,0.1641,0.3000000000000007,0.1611
2021-09-03,49550.91,16.41,0.026249213669197857,0.48111532336597285,0.1641,0.0,0.1641
2021-09-07,51922.75,18.14,0.04675641119992946,0.49355599549410184,0.1814,1.7300000000000004,0.1641
2021-09-08,46808.79,17.96,-0.10368603129451692,0.5974301544128291,0.1796,-0.17999999999999972,0.1814
2021-09-09,46039.39,18.8,-0.016573671382841937,0.5854339501846078,0.188,0.8399999999999999,0.1796
2021-09-10,46263.25,20.95,0.004850574997988133,0.5854703389988994,0.2095,2.1499999999999986,0.188
2021-09-13,45930.0,19.37,-0.007229411077801728,0.5835467532827384,0.1937,-1.5799999999999983,0.2095
2021-09-14,45174.49,19.46,-0.016585951353130568,0.5677919832400112,0.1946,0.08999999999999986,0.1937
2021-09-15,46818.89,18.18,0.03575420697998588,0.5639534668938718,0.1818,-1.2800000000000011,0.1946
2021-09-16,47926.16,18.69,0.02337473916040267,0.5689197432661862,0.1869,0.5100000000000016,0.1818
2021-09-17,47136.32,20.81,-0.016617664001525867,0.5654339914150581,0.20809999999999998,2.1199999999999974,0.1869
2021-09-20,47652.0,25.71,0.01088077281367994,0.564423241311565,0.2571,4.900000000000002,0.20809999999999998
2021-09-21,43527.56,24.36,-0.09053030124053052,0.6295763388054918,0.24359999999999998,-1.3500000000000014,0.2571
2021-09-22,40921.25,20.87,-0.06174481267014009,0.6418560776430401,0.2087,-3.4899999999999984,0.24359999999999998
2021-09-23,43436.92,18.63,0.05966028269143564,0.6760007166875986,0.1863,-2.240000000000002,0.2087
2021-09-24,44705.75,17.75,0.02879235797558266,0.6833671540136025,0.1775,-0.879999999999999,0.1863
